question,answer,category
"Can I switch plans mid-cycle?","Yes. Upgrades take effect immediately and we pro-rate the difference. Downgrades take effect at the next renewal.","billing"
"Do you offer annual billing?","Yes, annual is 20% cheaper than monthly. Switch at Settings > Billing > Change to annual.","billing"
"Can I pay by invoice instead of card?","Annual plans of $10k or more can be billed by invoice with net-30 terms. Contact sales to set this up.","billing"
"Why was I charged twice?","Most double-charge reports are an authorisation hold plus the real charge — the hold drops off in 3-5 business days. If both have settled, send us the transaction IDs and we'll refund the duplicate.","billing"
"How do I create a new project?","From the dashboard, click 'New project' in the top-right. Give it a name and a visibility (private or team-shared). You can change either later.","features"
"How do I invite teammates to a project?","Open the project, click 'Members', enter their email or workspace handle. They get an invite email and the project appears in their dashboard once they accept.","features"
"What's the difference between a workspace and a project?","A workspace is the billing and admin container. A project is a unit of work inside a workspace. One workspace, many projects.","features"
"Can I duplicate a project?","Yes. Open the project, click the menu next to its name, choose 'Duplicate'. The copy inherits members and settings but not history.","features"
"How do I export project data?","Project > Settings > Export. We email a download link within 10 minutes. The export is a single ZIP with JSON and CSV.","features"
"Is there a dark mode?","Yes. Settings > Appearance > Theme > Dark. There's also 'Match system' which follows your OS.","features"
"Can I use the product offline?","The desktop app caches recent projects for offline viewing. Editing offline is supported on the Pro plan and above; changes sync when you reconnect.","features"
"How do I rename a project?","Open the project, click its name in the header, edit inline. Or Project > Settings > General.","features"
"Where do I find keyboard shortcuts?","Press '?' anywhere in the app. The list is also at Settings > Help > Keyboard shortcuts.","features"
"How do I search inside a project?","Press Ctrl/Cmd-K to open quick search. It indexes titles, content, and member names.","features"
"I'm getting a 'rate limit exceeded' error","You've sent too many requests in a short window. Wait 60 seconds and retry. If this keeps happening, your usage may have grown past your plan — check Settings > Usage.","troubleshooting"
"The app won't load, I just see a blank screen","First, hard-refresh the page (Ctrl/Cmd-Shift-R). If it's still blank, open the browser console and send us the first red error. Most cases are an outdated cached service worker.","troubleshooting"
"I'm seeing a 'session expired' error every few minutes","This usually means your system clock is wrong by more than 60 seconds. Sync your clock to NTP and the issue clears.","troubleshooting"
"File upload keeps failing","Check the file is under your plan's per-file limit (see Settings > Usage). Then try a different browser to rule out an extension. Many ad-blockers break our upload requests.","troubleshooting"
"I can't see a teammate's changes","Pull to refresh, or press F5. Real-time sync requires WebSockets — if your network blocks them, the app falls back to a slower 30-second poll.","troubleshooting"
"The mobile app keeps crashing on startup","Force-close, reopen, and let it finish the first sync. If it still crashes, uninstall and reinstall. Your data is server-side so nothing is lost.","troubleshooting"
"My data isn't syncing across devices","Check the sync indicator in the bottom-right. Red means there's a conflict — click it to resolve. Grey means offline. Green means everything is in sync.","troubleshooting"
"I'm getting 'permission denied' but I should have access","Your role on the project may have changed. Ask the project owner to verify your role under Project > Members. Cached browser sessions can also lag — sign out and back in.","troubleshooting"
"The PDF export looks broken","PDF exports use a server-side renderer that doesn't support custom fonts in the free tier. Switch to a system font for the project or upgrade to Pro for custom-font PDF.","troubleshooting"
"My API key isn't working","Confirm the key isn't expired (Settings > API keys > Last used). Confirm you're sending it in the 'Authorization: Bearer KEY' header, not as a query param.","troubleshooting"
"How do I connect Slack?","Settings > Integrations > Slack > Connect. The OAuth flow asks you to pick the workspace and channel. After that, project updates post to that channel.","integrations"
"How do I set up SSO with Google?","Settings > Security > SSO > Google Workspace. You need to be an admin of both your account here and your Google org. The setup takes about 10 minutes.","integrations"
"Do you support SAML SSO?","Yes, on Business and Enterprise plans. Settings > Security > SSO > SAML. We support Okta, Azure AD, OneLogin, and any provider with standard SAML 2.0 metadata.","integrations"
"How do I get a webhook for project events?","Project > Settings > Webhooks > New webhook. Pick the events you want, paste your endpoint URL. We sign each delivery with HMAC-SHA256.","integrations"
"My webhook is not receiving events","Check the webhook page for the most recent delivery — failed deliveries show the response status and the first 1 KB of the response body. We retry 5xx responses with exponential backoff for 24 hours.","integrations"
"How do I disconnect an integration?","Settings > Integrations > [name] > Disconnect. We revoke the OAuth token immediately. Existing data already pulled stays in your project.","integrations"
"Can I trigger a workflow from Zapier?","Yes. Search 'YourProduct' in Zapier. We expose triggers (project updated, member added, comment posted) and actions (create project, invite member, post comment).","integrations"
"How do I authenticate with the REST API?","Generate an API key at Settings > API keys, then send 'Authorization: Bearer <key>' on every request. Keys have the same permissions as the user who created them.","integrations"
"Is there an official Python SDK?","Yes — 'pip install yourproduct'. Source on github.com/yourproduct/python. Node, Go, and Ruby SDKs are also published.","integrations"
"What happens when I rotate my API key?","The old key keeps working for 30 days while you migrate. After 30 days the old key is rejected. You can revoke a key immediately if it's leaked.","integrations"
"Where is my data stored?","On AWS in the region you chose at signup (us-east-1, eu-west-1, or ap-southeast-2). Data does not leave your chosen region.","security"
"Is my data encrypted?","Yes. At rest with AES-256 and in transit with TLS 1.3. Each customer has a separate envelope-encryption key.","security"
"Do you have SOC 2?","Yes, Type 2. Report is available under NDA — request it at Settings > Security > Compliance reports.","security"
"Are you GDPR-compliant?","Yes. We act as a data processor under standard contractual clauses. DPA available at Settings > Legal > Data processing agreement.","security"
"Can I get a list of subprocessors?","Yes — it's at the top of Settings > Security > Compliance reports and is always current.","security"
"How long do you keep deleted data?","Soft-deleted data is recoverable for 30 days. After that it's hard-deleted from primary storage within 24 hours and from backups within 90 days.","security"
"Do you support customer-managed encryption keys?","Yes, on Enterprise plans. Bring your own key via AWS KMS or Google Cloud KMS. We never see the key material.","security"
"How do I audit who accessed a project?","Project > Settings > Audit log. Filterable by member, action, and date range. Exportable as JSON or CSV.","security"
"Can I require all team members to use SSO?","Yes. Settings > Security > Enforce SSO. After enabling, password login is disabled for everyone in your workspace.","security"
"Is there an IP allowlist?","Yes, on Business plans and above. Settings > Security > Network access > IP allowlist. CIDR blocks supported.","security"
"I just signed up, where do I start?","Three things in this order: verify your email, create your first project, invite at least one teammate. The dashboard walks you through each.","getting_started"
"What's the fastest way to see if this product is right for me?","Use the sample project on your dashboard — it has realistic data and shows the main flows in under 5 minutes. Then create one real project in the area you care most about.","getting_started"
"Do you have a guided tour?","Yes. Click the '?' bubble in the bottom-right and pick 'Take the tour'. It takes about 4 minutes and you can pause anywhere.","getting_started"
"Is there a free trial?","Yes, 14 days of the Pro plan, no card required. After day 14 you either pick a paid plan or drop to the free tier — nothing auto-charges.","getting_started"
"What's the difference between free and paid plans?","Free is for personal use: 3 projects, 1 GB storage, community support. Paid plans raise those limits, add SSO, audit logs, and SLA-backed support. Full comparison at /pricing.","getting_started"
"How do I import data from another tool?","Settings > Import. We support CSV, JSON, and direct connectors for Trello, Asana, and Linear. Imports run in the background — you get an email when they finish.","getting_started"
"Can I try a feature before upgrading?","Most paid features show a 'Try it free for 7 days' banner when you click them. The trial doesn't require a card.","getting_started"
"What does 'workspace' mean here?","Workspace is your billing and admin scope. Everything inside one workspace shares one bill, one set of members, one set of integrations.","getting_started"
"What if I outgrow my plan?","We email you when you hit 80% of any limit. You can upgrade in one click from the email or from Settings > Billing.","getting_started"
"Do you have a Notion or Linear style approach?","We're closer to Linear — opinionated about workflow, optimised for speed. We integrate with Notion if you want docs alongside.","getting_started"
"Why is the app slow?","First, check our status page at status.yourproduct.com. If we're green, try a different network — corporate proxies sometimes add 1-2 seconds per request. If still slow, send us a network HAR file.","performance"
"What's the maximum project size?","On Pro: 100k items per project, 50 GB storage per workspace. On Business: 1M items, 500 GB. Enterprise is uncapped subject to fair use.","performance"
"How many API requests can I make per minute?","60/min on Free, 600/min on Pro, 6000/min on Business. Limits are per API key. Hit a 429 response when you exceed it.","performance"
"Search is returning stale results","Search updates within 30 seconds of a change. If you're seeing results older than that, click the refresh icon next to the search bar — it forces a re-index of your view.","performance"
"My large file upload is timing out","Single-shot uploads cap at 100 MB. For larger files use the multi-part upload endpoint or our desktop app, which handles chunking automatically.","performance"
"Why does the first page load take a while?","On first load we download about 2 MB of code and prefetch your last-used project. Subsequent loads from the same browser are sub-second.","performance"
"How do I report a performance regression?","Send us the browser, OS, the URL you were on, and the time (with timezone) you noticed the slowdown. Our front-end traces are sampled, so timestamps help us find the trace.","performance"
"What's your uptime SLA?","99.9% on Pro and Business (monthly). 99.95% on Enterprise. Status page has live uptime numbers and incident history.","performance"
"How often do you have planned maintenance?","We aim for less than 30 minutes per month, always announced 7 days ahead. Most deploys are zero-downtime — true maintenance windows are rare.","performance"
"Why are notifications delayed?","Email is rate-limited at 1 per minute per recipient per project to avoid noise. In-app notifications are real-time. Slack is real-time on Pro and above.","performance"
"How do I invite a teammate?","Workspace > Members > Invite. Enter their email and pick a role (admin, member, viewer). They get an invite email valid for 7 days.","team"
"What are the different member roles?","Admin: full control including billing. Member: can create and edit projects. Viewer: read-only. You can also set per-project roles that override the workspace role.","team"
"How do I remove a member?","Workspace > Members, find them, click Remove. Their content stays attached to their name; if you also want to reassign their content, pick a new owner during removal.","team"
"Can I have guests with limited access?","Yes. Guest seats are free on Pro and above. They can only see projects they're explicitly invited to, and they don't count against your member limit.","team"
"How do I transfer a project to a different workspace?","Project > Settings > Transfer. Pick the destination workspace. Both you and the destination admin must approve. Integrations and webhooks don't follow — you re-set them in the new workspace.","team"
"Can a member be in multiple workspaces?","Yes. The same email can belong to many workspaces. The workspace switcher is in the top-left.","team"
"How do I make a workspace SSO-only?","Settings > Security > Enforce SSO. After this, members can only sign in via your IdP. Password login is disabled even for admins.","team"
"What happens to a project when its owner leaves the workspace?","Ownership transfers to the workspace admin with the longest tenure. The admin can reassign at any time from Project > Settings > Transfer ownership.","team"
"Can I see what each member is working on?","Workspace > Activity. Filterable by member and date. Audit log (Business+) is the same data but tamper-evident.","team"
"How do I set a teammate's notification preferences for them?","You can't — preferences are per-user and they control them at Settings > Notifications. Admins can broadcast a default config but users can override.","team"
"How do I export all my data?","Settings > Data > Export workspace. We package every project, file, and audit log into a single ZIP and email you a 24-hour download link. Large exports can take up to 4 hours.","data"
"What format is the export in?","JSON for structured data (projects, members, comments). CSV for tabular data (activity logs). Original file format for uploads.","data"
"Can I import an export back in?","Yes. Settings > Data > Import workspace export. Use this to migrate between accounts or restore from a backup you made.","data"
"How often are backups taken?","Continuous via WAL replication, plus a full snapshot every 24 hours. Snapshots are retained for 35 days.","data"
"Can I restore a specific project from backup?","Yes, on Business and Enterprise. Open a support ticket with the project ID and the target restore time. We aim to complete restore requests within 4 business hours.","data"
"What's the retention policy on deleted projects?","30 days in the recycle bin (Settings > Recycle bin > Restore). After 30 days, hard-deleted from primary storage within 24 hours.","data"
"Can I bulk-delete projects?","Yes. Workspace > Projects > select multiple > Delete. Confirms once. Deleted projects go to the recycle bin and are restorable for 30 days.","data"
"How do I get a per-project export instead of the full workspace?","Project > Settings > Export this project. Same formats as workspace export, just scoped. No 4-hour delay — usually under 5 minutes.","data"
"Is there a public data archive of my projects?","Only if you tick 'Make exports public' under Project > Settings > Export. By default, exports are private to the requester.","data"
"How big can an attachment be?","100 MB per file on Pro, 500 MB on Business, 5 GB on Enterprise. Total storage cap is set by your plan.","data"
