prompt,intent,action_type,path,category,args,tags,action_json
Set up AWS Database Migration Service,execute_script,terraform,aws/terraform_aws_dms,aws,,"aws,dms,migration,database","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_dms"", ""explanation"": ""AWS Database Migration Service""}"
Deploy AWS Database Migration Service,execute_script,terraform,aws/terraform_aws_dms,aws,,"aws,dms,migration,database","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_dms"", ""explanation"": ""AWS Database Migration Service""}"
Create AWS DocumentDB using terraform,execute_script,terraform,aws/terraform_aws_documentdb,aws,,"aws,documentdb,nosql,mongodb","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_documentdb"", ""explanation"": ""AWS DocumentDB""}"
Provision AWS DocumentDB with terraform,execute_script,terraform,aws/terraform_aws_documentdb,aws,,"aws,documentdb,nosql,mongodb","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_documentdb"", ""explanation"": ""AWS DocumentDB""}"
Set up AWS DocumentDB,execute_script,terraform,aws/terraform_aws_documentdb,aws,,"aws,documentdb,nosql,mongodb","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_documentdb"", ""explanation"": ""AWS DocumentDB""}"
Deploy AWS DocumentDB,execute_script,terraform,aws/terraform_aws_documentdb,aws,,"aws,documentdb,nosql,mongodb","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_documentdb"", ""explanation"": ""AWS DocumentDB""}"
Create AWS DynamoDB using terraform,execute_script,terraform,aws/terraform_aws_dynamodb,aws,,"aws,dynamodb,nosql,database","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_dynamodb"", ""explanation"": ""AWS DynamoDB""}"
Provision AWS DynamoDB with terraform,execute_script,terraform,aws/terraform_aws_dynamodb,aws,,"aws,dynamodb,nosql,database","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_dynamodb"", ""explanation"": ""AWS DynamoDB""}"
Set up AWS DynamoDB,execute_script,terraform,aws/terraform_aws_dynamodb,aws,,"aws,dynamodb,nosql,database","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_dynamodb"", ""explanation"": ""AWS DynamoDB""}"
Deploy AWS DynamoDB,execute_script,terraform,aws/terraform_aws_dynamodb,aws,,"aws,dynamodb,nosql,database","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_dynamodb"", ""explanation"": ""AWS DynamoDB""}"
Provision AWS EC2 instance using terraform,execute_script,terraform,aws/terraform_aws_ec2_basic,aws,,"aws,ec2,vm,compute","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_ec2_basic"", ""explanation"": ""AWS EC2 instance""}"
Create AWS EC2 instance with terraform,execute_script,terraform,aws/terraform_aws_ec2_basic,aws,,"aws,ec2,vm,compute","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_ec2_basic"", ""explanation"": ""AWS EC2 instance""}"
Deploy a virtual machine on AWS,execute_script,terraform,aws/terraform_aws_ec2_basic,aws,,"aws,ec2,vm,compute","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_ec2_basic"", ""explanation"": ""AWS EC2 instance""}"
Set up AWS EC2 instance,execute_script,terraform,aws/terraform_aws_ec2_basic,aws,,"aws,ec2,vm,compute","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_ec2_basic"", ""explanation"": ""AWS EC2 instance""}"
Create AWS ECR container registry using terraform,execute_script,terraform,aws/terraform_aws_ecr,aws,,"aws,ecr,container,registry","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_ecr"", ""explanation"": ""AWS ECR container registry""}"
Provision AWS ECR container registry with terraform,execute_script,terraform,aws/terraform_aws_ecr,aws,,"aws,ecr,container,registry","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_ecr"", ""explanation"": ""AWS ECR container registry""}"
Set up AWS ECR container registry,execute_script,terraform,aws/terraform_aws_ecr,aws,,"aws,ecr,container,registry","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_ecr"", ""explanation"": ""AWS ECR container registry""}"
Deploy AWS ECR container registry,execute_script,terraform,aws/terraform_aws_ecr,aws,,"aws,ecr,container,registry","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_ecr"", ""explanation"": ""AWS ECR container registry""}"
Provision AWS ECS container service using terraform,execute_script,terraform,aws/terraform_aws_ecs,aws,,"aws,ecs,container,service","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_ecs"", ""explanation"": ""AWS ECS container service""}"
Create AWS ECS container service with terraform,execute_script,terraform,aws/terraform_aws_ecs,aws,,"aws,ecs,container,service","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_ecs"", ""explanation"": ""AWS ECS container service""}"
Deploy a virtual machine on AWS,execute_script,terraform,aws/terraform_aws_ecs,aws,,"aws,ecs,container,service","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_ecs"", ""explanation"": ""AWS ECS container service""}"
Set up AWS ECS container service,execute_script,terraform,aws/terraform_aws_ecs,aws,,"aws,ecs,container,service","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_ecs"", ""explanation"": ""AWS ECS container service""}"
Create AWS EKS Kubernetes using terraform,execute_script,terraform,aws/terraform_aws_eks,aws,,"aws,eks,kubernetes,cluster","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_eks"", ""explanation"": ""AWS EKS Kubernetes""}"
Provision AWS EKS Kubernetes cluster with terraform,execute_script,terraform,aws/terraform_aws_eks,aws,,"aws,eks,kubernetes,cluster","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_eks"", ""explanation"": ""AWS EKS Kubernetes""}"
Set up Kubernetes on AWS,execute_script,terraform,aws/terraform_aws_eks,aws,,"aws,eks,kubernetes,cluster","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_eks"", ""explanation"": ""AWS EKS Kubernetes""}"
Deploy AWS EKS Kubernetes,execute_script,terraform,aws/terraform_aws_eks,aws,,"aws,eks,kubernetes,cluster","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_eks"", ""explanation"": ""AWS EKS Kubernetes""}"
Create AWS EventBridge using terraform,execute_script,terraform,aws/terraform_aws_eventbridge,aws,,"aws,eventbridge,events,serverless","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_eventbridge"", ""explanation"": ""AWS EventBridge""}"
Provision AWS EventBridge with terraform,execute_script,terraform,aws/terraform_aws_eventbridge,aws,,"aws,eventbridge,events,serverless","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_eventbridge"", ""explanation"": ""AWS EventBridge""}"
Set up AWS EventBridge,execute_script,terraform,aws/terraform_aws_eventbridge,aws,,"aws,eventbridge,events,serverless","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_eventbridge"", ""explanation"": ""AWS EventBridge""}"
Deploy AWS EventBridge,execute_script,terraform,aws/terraform_aws_eventbridge,aws,,"aws,eventbridge,events,serverless","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_eventbridge"", ""explanation"": ""AWS EventBridge""}"
Create AWS Lambda full stack NoSQL using terraform,execute_script,terraform,aws/terraform_aws_lambda_apigateway_ses_sns_sqs_cloudwatch_nosql,aws,,"aws,lambda,apigateway,fullstack","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_lambda_apigateway_ses_sns_sqs_cloudwatch_nosql"", ""explanation"": ""AWS Lambda full stack NoSQL""}"
Provision AWS Lambda full stack NoSQL with terraform,execute_script,terraform,aws/terraform_aws_lambda_apigateway_ses_sns_sqs_cloudwatch_nosql,aws,,"aws,lambda,apigateway,fullstack","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_lambda_apigateway_ses_sns_sqs_cloudwatch_nosql"", ""explanation"": ""AWS Lambda full stack NoSQL""}"
Set up AWS Lambda full stack NoSQL,execute_script,terraform,aws/terraform_aws_lambda_apigateway_ses_sns_sqs_cloudwatch_nosql,aws,,"aws,lambda,apigateway,fullstack","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_lambda_apigateway_ses_sns_sqs_cloudwatch_nosql"", ""explanation"": ""AWS Lambda full stack NoSQL""}"
Deploy AWS Lambda full stack NoSQL,execute_script,terraform,aws/terraform_aws_lambda_apigateway_ses_sns_sqs_cloudwatch_nosql,aws,,"aws,lambda,apigateway,fullstack","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_lambda_apigateway_ses_sns_sqs_cloudwatch_nosql"", ""explanation"": ""AWS Lambda full stack NoSQL""}"
Create AWS Lambda full stack Postgres using terraform,execute_script,terraform,aws/terraform_aws_lambda_apigateway_ses_sns_sqs_cloudwatch_postgres,aws,,"aws,lambda,apigateway,postgres","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_lambda_apigateway_ses_sns_sqs_cloudwatch_postgres"", ""explanation"": ""AWS Lambda full stack Postgres""}"
Provision AWS Lambda full stack Postgres with terraform,execute_script,terraform,aws/terraform_aws_lambda_apigateway_ses_sns_sqs_cloudwatch_postgres,aws,,"aws,lambda,apigateway,postgres","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_lambda_apigateway_ses_sns_sqs_cloudwatch_postgres"", ""explanation"": ""AWS Lambda full stack Postgres""}"
Set up AWS Lambda full stack Postgres,execute_script,terraform,aws/terraform_aws_lambda_apigateway_ses_sns_sqs_cloudwatch_postgres,aws,,"aws,lambda,apigateway,postgres","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_lambda_apigateway_ses_sns_sqs_cloudwatch_postgres"", ""explanation"": ""AWS Lambda full stack Postgres""}"
Deploy AWS Lambda full stack Postgres,execute_script,terraform,aws/terraform_aws_lambda_apigateway_ses_sns_sqs_cloudwatch_postgres,aws,,"aws,lambda,apigateway,postgres","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_lambda_apigateway_ses_sns_sqs_cloudwatch_postgres"", ""explanation"": ""AWS Lambda full stack Postgres""}"
Create AWS Lambda function using terraform,execute_script,terraform,aws/terraform_aws_lambdafunction,aws,,"aws,lambda,serverless,function","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_lambdafunction"", ""explanation"": ""AWS Lambda function""}"
Provision AWS Lambda function with terraform,execute_script,terraform,aws/terraform_aws_lambdafunction,aws,,"aws,lambda,serverless,function","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_lambdafunction"", ""explanation"": ""AWS Lambda function""}"
Set up AWS Lambda function,execute_script,terraform,aws/terraform_aws_lambdafunction,aws,,"aws,lambda,serverless,function","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_lambdafunction"", ""explanation"": ""AWS Lambda function""}"
Deploy AWS Lambda function,execute_script,terraform,aws/terraform_aws_lambdafunction,aws,,"aws,lambda,serverless,function","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_lambdafunction"", ""explanation"": ""AWS Lambda function""}"
Create AWS Network ACL using terraform,execute_script,terraform,aws/terraform_aws_networks_acl,aws,,"aws,network,acl,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_acl"", ""explanation"": ""AWS Network ACL""}"
Set up AWS Network ACL with terraform,execute_script,terraform,aws/terraform_aws_networks_acl,aws,,"aws,network,acl,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_acl"", ""explanation"": ""AWS Network ACL""}"
Provision AWS Network ACL,execute_script,terraform,aws/terraform_aws_networks_acl,aws,,"aws,network,acl,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_acl"", ""explanation"": ""AWS Network ACL""}"
Configure AWS Network ACL,execute_script,terraform,aws/terraform_aws_networks_acl,aws,,"aws,network,acl,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_acl"", ""explanation"": ""AWS Network ACL""}"
Create AWS CloudFront CDN using terraform,execute_script,terraform,aws/terraform_aws_networks_cloudfront,aws,,"aws,cloudfront,cdn,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_cloudfront"", ""explanation"": ""AWS CloudFront CDN""}"
Provision AWS CloudFront CDN with terraform,execute_script,terraform,aws/terraform_aws_networks_cloudfront,aws,,"aws,cloudfront,cdn,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_cloudfront"", ""explanation"": ""AWS CloudFront CDN""}"
Set up AWS CloudFront CDN,execute_script,terraform,aws/terraform_aws_networks_cloudfront,aws,,"aws,cloudfront,cdn,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_cloudfront"", ""explanation"": ""AWS CloudFront CDN""}"
Deploy AWS CloudFront CDN,execute_script,terraform,aws/terraform_aws_networks_cloudfront,aws,,"aws,cloudfront,cdn,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_cloudfront"", ""explanation"": ""AWS CloudFront CDN""}"
Create AWS Customer Gateway using terraform,execute_script,terraform,aws/terraform_aws_networks_customer_gateway,aws,,"aws,network,gateway,vpn","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_customer_gateway"", ""explanation"": ""AWS Customer Gateway""}"
Provision AWS Customer Gateway with terraform,execute_script,terraform,aws/terraform_aws_networks_customer_gateway,aws,,"aws,network,gateway,vpn","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_customer_gateway"", ""explanation"": ""AWS Customer Gateway""}"
Set up AWS Customer Gateway,execute_script,terraform,aws/terraform_aws_networks_customer_gateway,aws,,"aws,network,gateway,vpn","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_customer_gateway"", ""explanation"": ""AWS Customer Gateway""}"
Deploy AWS Customer Gateway,execute_script,terraform,aws/terraform_aws_networks_customer_gateway,aws,,"aws,network,gateway,vpn","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_customer_gateway"", ""explanation"": ""AWS Customer Gateway""}"
Create AWS DNS CNAME record using terraform,execute_script,terraform,aws/terraform_aws_networks_dns_cname,aws,,"aws,dns,cname,route53","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_dns_cname"", ""explanation"": ""AWS DNS CNAME record""}"
Set up AWS DNS CNAME record with terraform,execute_script,terraform,aws/terraform_aws_networks_dns_cname,aws,,"aws,dns,cname,route53","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_dns_cname"", ""explanation"": ""AWS DNS CNAME record""}"
Provision AWS DNS CNAME record,execute_script,terraform,aws/terraform_aws_networks_dns_cname,aws,,"aws,dns,cname,route53","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_dns_cname"", ""explanation"": ""AWS DNS CNAME record""}"
Configure AWS DNS CNAME record,execute_script,terraform,aws/terraform_aws_networks_dns_cname,aws,,"aws,dns,cname,route53","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_dns_cname"", ""explanation"": ""AWS DNS CNAME record""}"
Create AWS DNS record using terraform,execute_script,terraform,aws/terraform_aws_networks_dns_record,aws,,"aws,dns,record,route53","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_dns_record"", ""explanation"": ""AWS DNS record""}"
Set up AWS DNS record with terraform,execute_script,terraform,aws/terraform_aws_networks_dns_record,aws,,"aws,dns,record,route53","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_dns_record"", ""explanation"": ""AWS DNS record""}"
Provision AWS DNS record,execute_script,terraform,aws/terraform_aws_networks_dns_record,aws,,"aws,dns,record,route53","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_dns_record"", ""explanation"": ""AWS DNS record""}"
Configure AWS DNS record,execute_script,terraform,aws/terraform_aws_networks_dns_record,aws,,"aws,dns,record,route53","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_dns_record"", ""explanation"": ""AWS DNS record""}"
Create AWS Elastic IP using terraform,execute_script,terraform,aws/terraform_aws_networks_elastic_ip,aws,,"aws,eip,network,ip","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_elastic_ip"", ""explanation"": ""AWS Elastic IP""}"
Provision AWS Elastic IP with terraform,execute_script,terraform,aws/terraform_aws_networks_elastic_ip,aws,,"aws,eip,network,ip","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_elastic_ip"", ""explanation"": ""AWS Elastic IP""}"
Set up AWS Elastic IP,execute_script,terraform,aws/terraform_aws_networks_elastic_ip,aws,,"aws,eip,network,ip","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_elastic_ip"", ""explanation"": ""AWS Elastic IP""}"
Deploy AWS Elastic IP,execute_script,terraform,aws/terraform_aws_networks_elastic_ip,aws,,"aws,eip,network,ip","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_elastic_ip"", ""explanation"": ""AWS Elastic IP""}"
Create AWS Load Balancer using terraform,execute_script,terraform,aws/terraform_aws_networks_load_balancer,aws,,"aws,elb,loadbalancer,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_load_balancer"", ""explanation"": ""AWS Load Balancer""}"
Provision AWS Load Balancer with terraform,execute_script,terraform,aws/terraform_aws_networks_load_balancer,aws,,"aws,elb,loadbalancer,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_load_balancer"", ""explanation"": ""AWS Load Balancer""}"
Set up AWS Load Balancer,execute_script,terraform,aws/terraform_aws_networks_load_balancer,aws,,"aws,elb,loadbalancer,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_load_balancer"", ""explanation"": ""AWS Load Balancer""}"
Deploy AWS Load Balancer,execute_script,terraform,aws/terraform_aws_networks_load_balancer,aws,,"aws,elb,loadbalancer,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_load_balancer"", ""explanation"": ""AWS Load Balancer""}"
Create AWS Route Table using terraform,execute_script,terraform,aws/terraform_aws_networks_route_table,aws,,"aws,network,route,table","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_route_table"", ""explanation"": ""AWS Route Table""}"
Provision AWS Route Table with terraform,execute_script,terraform,aws/terraform_aws_networks_route_table,aws,,"aws,network,route,table","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_route_table"", ""explanation"": ""AWS Route Table""}"
Set up AWS Route Table,execute_script,terraform,aws/terraform_aws_networks_route_table,aws,,"aws,network,route,table","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_route_table"", ""explanation"": ""AWS Route Table""}"
Deploy AWS Route Table,execute_script,terraform,aws/terraform_aws_networks_route_table,aws,,"aws,network,route,table","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_route_table"", ""explanation"": ""AWS Route Table""}"
Create AWS Security Group using terraform,execute_script,terraform,aws/terraform_aws_networks_securitygroup,aws,,"aws,securitygroup,firewall,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_securitygroup"", ""explanation"": ""AWS Security Group""}"
Set up AWS Security Group with terraform,execute_script,terraform,aws/terraform_aws_networks_securitygroup,aws,,"aws,securitygroup,firewall,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_securitygroup"", ""explanation"": ""AWS Security Group""}"
Provision AWS Security Group,execute_script,terraform,aws/terraform_aws_networks_securitygroup,aws,,"aws,securitygroup,firewall,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_securitygroup"", ""explanation"": ""AWS Security Group""}"
Configure AWS Security Group,execute_script,terraform,aws/terraform_aws_networks_securitygroup,aws,,"aws,securitygroup,firewall,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_securitygroup"", ""explanation"": ""AWS Security Group""}"
Create AWS SSL certificate using terraform,execute_script,terraform,aws/terraform_aws_networks_ssl,aws,,"aws,ssl,certificate,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_ssl"", ""explanation"": ""AWS SSL certificate""}"
Provision AWS SSL certificate with terraform,execute_script,terraform,aws/terraform_aws_networks_ssl,aws,,"aws,ssl,certificate,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_ssl"", ""explanation"": ""AWS SSL certificate""}"
Set up AWS SSL certificate,execute_script,terraform,aws/terraform_aws_networks_ssl,aws,,"aws,ssl,certificate,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_ssl"", ""explanation"": ""AWS SSL certificate""}"
Deploy AWS SSL certificate,execute_script,terraform,aws/terraform_aws_networks_ssl,aws,,"aws,ssl,certificate,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_ssl"", ""explanation"": ""AWS SSL certificate""}"
Create AWS Subnet using terraform,execute_script,terraform,aws/terraform_aws_networks_subnet,aws,,"aws,subnet,network,vpc","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_subnet"", ""explanation"": ""AWS Subnet""}"
Set up AWS Subnet with terraform,execute_script,terraform,aws/terraform_aws_networks_subnet,aws,,"aws,subnet,network,vpc","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_subnet"", ""explanation"": ""AWS Subnet""}"
Provision AWS Subnet,execute_script,terraform,aws/terraform_aws_networks_subnet,aws,,"aws,subnet,network,vpc","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_subnet"", ""explanation"": ""AWS Subnet""}"
Configure AWS Subnet,execute_script,terraform,aws/terraform_aws_networks_subnet,aws,,"aws,subnet,network,vpc","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_subnet"", ""explanation"": ""AWS Subnet""}"
Create AWS Transit Gateway using terraform,execute_script,terraform,aws/terraform_aws_networks_transit_gateway,aws,,"aws,transit,gateway,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_transit_gateway"", ""explanation"": ""AWS Transit Gateway""}"
Provision AWS Transit Gateway with terraform,execute_script,terraform,aws/terraform_aws_networks_transit_gateway,aws,,"aws,transit,gateway,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_transit_gateway"", ""explanation"": ""AWS Transit Gateway""}"
Set up AWS Transit Gateway,execute_script,terraform,aws/terraform_aws_networks_transit_gateway,aws,,"aws,transit,gateway,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_transit_gateway"", ""explanation"": ""AWS Transit Gateway""}"
Deploy AWS Transit Gateway,execute_script,terraform,aws/terraform_aws_networks_transit_gateway,aws,,"aws,transit,gateway,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_transit_gateway"", ""explanation"": ""AWS Transit Gateway""}"
Create AWS VPC using terraform,execute_script,terraform,aws/terraform_aws_networks_vpc,aws,,"aws,vpc,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""aws/terraform_aws_networks_vpc"", ""explanation"": ""AWS VPC""}"
